# 追溯矩阵 SSOT — 由 scripts/check-traceability.sh 校验
# BR → EX → AC → 任务 → API → 测试任务 全链路追溯
# 维护规则：新增 BR 时在本文件追加一行；已废弃 BR 不在此文件出现（见各模块 PRD §5.x.4 编号连续性说明）
# 已废弃（保留说明）：BR-5.6-06（v1.3.3 清空功能下线）、BR-5.7-05/06（v1.4.0 代发/发表问题下线）
br_id,module,description,related_ex,related_ac,impl_tasks,test_task,api,notes
BR-5.1-01,5.1,名称唯一,EX-5.1-01,AC-5.1-04,GROUP-02;GROUP-05,TEST-03,POST /api/v1/admin/groups,DB 唯一索引 uk_group_name
BR-5.1-02,5.1,类型不可改,-,-,GROUP-02,TEST-03,PUT /api/v1/admin/groups/{id},Service 层校验
BR-5.1-03,5.1,停用保留内容,-,AC-5.1-02,GROUP-02;GROUP-04;GROUP-05;GROUP-06,TEST-03,PUT /api/v1/admin/groups/{id}/status,状态机 Enabled→Disabled；缓存失效
BR-5.1-04,5.1,删除二次确认,EX-5.1-02,AC-5.1-05,GROUP-05,TEST-03,DELETE /api/v1/admin/groups/{id},前端确认 + 后端校验
BR-5.1-05,5.1,排序字段,-,-,GROUP-02,TEST-03,-,sort_order DESC
BR-5.1-06,5.1,多语言至少一种,-,AC-5.1-03,GROUP-03;GROUP-05,TEST-06,POST /api/v1/admin/groups,DTO 校验；i18n 测试
BR-5.2-01,5.2,仅显示审核通过,-,AC-5.2-01,QLIST-02;QLIST-04;QLIST-05,TEST-01,GET /groups/{id}/questions,WHERE review_status='APPROVED'
BR-5.2-02,5.2,回答预览优先级,-,AC-5.2-03,QLIST-04;QLIST-06,TEST-01,GET /groups/{id}/questions,Service 层 buildPreview
BR-5.2-03,5.2,问题卡片图片最多3张缩略图,-,-,QLIST-04,TEST-01,-,UI 层截断显示
BR-5.2-04,5.2,相对时间,-,AC-5.2-07,QLIST-04;QLIST-07,TEST-01,-,utils/format.ts；GR-TIME-01
BR-5.2-05,5.2,My Question 需登录,-,AC-5.2-04,QLIST-02;QLIST-04,TEST-01,GET /groups/{id}/questions?tab=my,@SaCheckLogin
BR-5.2-06,5.2,无限滚动 20 条,EX-5.2-03,-,QLIST-04,TEST-01,GET /groups/{id}/questions,cursor 分页
BR-5.2-07,5.2,访问权限提示,EX-5.2-01,-,QLIST-02,TEST-01,GET /groups/{id},读 group.access_roles
BR-5.2-08,5.2,最新回答展示,-,AC-5.2-03,QLIST-04;QLIST-06,TEST-01,GET /groups/{id}/questions,同 BR-5.2-02 实现
BR-5.2-09,5.2,提问按钮权限检查,-,-,QLIST-02,TEST-01,-,读 group.post_roles + 弹窗
BR-5.2-10,5.2,数字千分号格式化,-,-,QLIST-08,TEST-01,-,utils/format.ts
BR-5.3-01,5.3,标题 5-400 字符,EX-5.3-01;EX-5.3-02,AC-5.3-05,QPOST-01;QPOST-02,TEST-01,POST /groups/{id}/questions,DTO @Size(min=5 max=400)
BR-5.3-02,5.3,描述选填 ≤10000 字符,EX-5.3-11,AC-5.3-01,QPOST-01;QPOST-02;QPOST-06,TEST-01,POST /groups/{id}/questions,DTO @Size(max=10000)
BR-5.3-03,5.3,图片 ≤9 张 ≤5MB,EX-5.3-03;EX-5.3-05,AC-5.3-03;AC-5.3-06,QPOST-01;QPOST-03,TEST-01,POST /upload/presign,前端校验 + 后端校验
BR-5.3-04,5.3,车型自动填,EX-5.3-09,AC-5.3-02,QPOST-01;QPOST-04,TEST-01,GET /user/vehicle,Bridge 调用
BR-5.3-05,5.3,敏感词校验,EX-5.3-06,-,QPOST-02,TEST-05,POST /content/check,UOP 调用
BR-5.3-06,5.3,发布仅自己可见,-,-,QPOST-02,TEST-03,-,review_status=PENDING + 列表过滤
BR-5.3-07,5.3,推送 UOP,-,-,QPOST-02,TEST-03,-,MQ 异步
BR-5.3-08,5.3,Post 按钮联动,-,-,QPOST-01,TEST-01,-,前端 disabled 状态
BR-5.3-09,5.3,圈子开关控制字段,-,-,QPOST-01,TEST-01,-,读 group_config
BR-5.3-10,5.3,场内问短信,-,-,QPOST-02,TEST-02,-,触发短信 MQ
BR-5.3-11,5.3,视频 1 个 ≤50MB,EX-5.3-04,-,QPOST-01,TEST-01,POST /upload/presign,-
BR-5.3-12,5.3,OSS 直传,-,-,QPOST-03,TEST-03,POST /upload/presign,三步流程
BR-5.4-01,5.4,回答时间正序,-,AC-5.4-09,QDETAIL-01,TEST-01,GET /questions/{id}/answers,ORDER BY created_at ASC
BR-5.4-02,5.4,官方号展示,-,AC-5.4-02,QDETAIL-05,TEST-01,GET /questions/{id}/answers,UI 渲染
